n,m,space_dim,codim,relative_codim,max_nontrunc_eig,max_trunc_eig,solver_status
7,7,28,28,21,0,5.14033337345932e-13,SLOW_PROGRESS
7,7,28,28,21,0,5.404768371780299e-16,SLOW_PROGRESS
7,7,28,28,21,0,8.368820719183966e-14,SLOW_PROGRESS
7,7,28,28,21,0,1.328042950958972e-11,SLOW_PROGRESS
7,7,28,28,21,0,9.578083109009754e-13,SLOW_PROGRESS
7,7,28,28,21,0,1.884321613252344e-14,SLOW_PROGRESS
7,7,28,28,21,0,4.561758119021558e-12,SLOW_PROGRESS
7,7,28,28,21,0,9.68511486924443e-11,SLOW_PROGRESS
7,7,28,28,21,0,5.354120509960869e-12,SLOW_PROGRESS
7,7,28,28,21,0,3.4117453415983108e-12,SLOW_PROGRESS
7,7,28,28,21,0,1.5354228292561874e-13,SLOW_PROGRESS
7,7,28,28,21,0,1.3336860339269642e-10,SLOW_PROGRESS
7,7,28,28,21,0,5.612889926749406e-16,SLOW_PROGRESS
7,7,28,28,21,0,7.19857992551777e-13,SLOW_PROGRESS
7,7,28,28,21,0,5.687813087656018e-14,SLOW_PROGRESS
7,7,28,0,-7,1.1384574332438624e7,0.0,SLOW_PROGRESS
7,7,28,28,21,0,1.0705186962925253e-8,SLOW_PROGRESS
7,7,28,28,21,0,1.5037950599078395e-13,SLOW_PROGRESS
7,7,28,28,21,0,3.730825216963216e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.3981959474736128e-16,SLOW_PROGRESS
7,7,28,28,21,0,2.1057425143483547e-11,SLOW_PROGRESS
7,7,28,28,21,0,3.425967182008269e-13,SLOW_PROGRESS
7,7,28,28,21,0,1.2775506712731176e-11,SLOW_PROGRESS
7,7,28,28,21,0,2.34462853860323e-12,SLOW_PROGRESS
7,7,28,28,21,0,1.0273336632666475e-12,SLOW_PROGRESS
7,7,28,28,21,0,2.521159723240682e-9,SLOW_PROGRESS
7,7,28,28,21,0,4.025927171511877e-14,SLOW_PROGRESS
7,7,28,28,21,0,1.6314867969355464e-11,SLOW_PROGRESS
7,7,28,0,-7,59.36440193365599,0.0,SLOW_PROGRESS
7,7,28,28,21,0,7.947013293724682e-10,SLOW_PROGRESS
7,7,28,28,21,0,1.488932000151903e-15,SLOW_PROGRESS
7,7,28,28,21,0,2.62306150774506e-12,SLOW_PROGRESS
7,7,28,28,21,0,1.8411813708483474e-16,SLOW_PROGRESS
7,7,28,28,21,0,1.5190528960367544e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.2767009205714314e-9,SLOW_PROGRESS
7,7,28,28,21,0,3.0546386857324544e-12,SLOW_PROGRESS
7,7,28,28,21,0,2.9721136048330657e-12,SLOW_PROGRESS
7,7,28,28,21,0,6.901610857514756e-12,SLOW_PROGRESS
7,7,28,28,21,0,1.7983058885402896e-15,SLOW_PROGRESS
7,7,28,28,21,0,6.471976220097483e-14,SLOW_PROGRESS
7,7,28,28,21,0,5.3361996694247585e-14,SLOW_PROGRESS
7,7,28,28,21,0,1.8419300762748449e-9,SLOW_PROGRESS
7,7,28,1,-6,58.95291655642848,0.0,SLOW_PROGRESS
7,7,28,28,21,0,2.583702288646625e-16,SLOW_PROGRESS
7,7,28,28,21,0,4.494920148696331e-10,SLOW_PROGRESS
7,7,28,28,21,0,1.5434208228202217e-11,SLOW_PROGRESS
7,7,28,28,21,0,8.287702483498633e-17,SLOW_PROGRESS
7,7,28,28,21,0,2.2725292140244635e-16,SLOW_PROGRESS
7,7,28,28,21,0,2.0001778811483294e-11,SLOW_PROGRESS
7,7,28,28,21,0,4.6900402293353394e-12,SLOW_PROGRESS
7,7,28,28,21,0,7.12729627317649e-11,SLOW_PROGRESS
7,7,28,28,21,0,1.1733179059673654e-15,SLOW_PROGRESS
7,7,28,28,21,0,1.3518494022484937e-9,SLOW_PROGRESS
7,7,28,28,21,0,4.321318542712617e-12,SLOW_PROGRESS
7,7,28,28,21,0,3.507353836056124e-13,SLOW_PROGRESS
7,7,28,28,21,0,3.386865835055897e-12,SLOW_PROGRESS
7,7,28,28,21,0,2.473768310698005e-10,SLOW_PROGRESS
7,7,28,28,21,0,2.2212635104984937e-9,SLOW_PROGRESS
