n,m,space_dim,codim,relative_codim,max_nontrunc_eig,max_trunc_eig,solver_status
7,6,28,6,0,5.785219065288896,1.3754881099304514e-10,OPTIMAL
7,6,28,6,0,3.0117766776934056,2.0322713429876084e-8,OPTIMAL
7,6,28,6,0,2.1565941701675033,6.055183743619051e-9,OPTIMAL
7,6,28,6,0,4.556929374963989,9.75288375343716e-10,OPTIMAL
7,6,28,21,15,3.336864062401885,6.120476656345865e-7,OPTIMAL
7,6,28,6,0,4.391169881728022,1.3165524762520302e-9,OPTIMAL
7,6,28,6,0,4.2264048875950495,2.47324421493025e-9,OPTIMAL
7,6,28,6,0,4.90418259429539,1.645579074833627e-8,OPTIMAL
7,6,28,6,0,5.105056913337961,3.5338912441191827e-9,OPTIMAL
7,6,28,6,0,18.334608274332645,3.2995639991091664e-9,OPTIMAL
7,6,28,6,0,2.802560789809886,8.762657643992976e-10,OPTIMAL
7,6,28,6,0,3.2370759866634082,1.5341944086487247e-8,OPTIMAL
7,6,28,6,0,6.1729961360497985,7.97324838163695e-9,OPTIMAL
7,6,28,6,0,7.287374464581006,1.6802471862633344e-8,OPTIMAL
7,6,28,6,0,5.89000899455465,5.245312815824664e-10,OPTIMAL
7,6,28,6,0,2.6482135785078613,2.1486571851736943e-8,OPTIMAL
7,6,28,6,0,3.013972904183704,8.769308708590153e-10,OPTIMAL
7,6,28,6,0,5.110591267884051,1.7201950725877995e-9,OPTIMAL
7,6,28,6,0,19.654401014791347,1.5512533095084337e-8,OPTIMAL
7,6,28,6,0,3.671359963642682,3.744141636202535e-9,OPTIMAL
7,6,28,6,0,8.015007497483865,1.3206013820436228e-9,OPTIMAL
7,6,28,6,0,3.3737965795079248,9.625287056595654e-9,OPTIMAL
7,6,28,6,0,5.116218834761323,1.9232621475671515e-9,OPTIMAL
7,6,28,6,0,4.823070472800886,1.3982673308721257e-8,OPTIMAL
7,6,28,6,0,6.291204185752843,5.344533930189559e-9,OPTIMAL
7,6,28,6,0,3.113764996084005,9.62307756260658e-10,OPTIMAL
7,6,28,6,0,3.616081256035535,4.614610669672307e-9,OPTIMAL
7,6,28,6,0,4.815232695212936,2.7290171298294722e-8,OPTIMAL
7,6,28,6,0,3.2525941731506527,3.0721540546216595e-8,OPTIMAL
7,6,28,6,0,2.6182645116827605,5.829226959584094e-9,OPTIMAL
7,6,28,6,0,4.241925900389109,1.7387776558966235e-8,OPTIMAL
7,6,28,6,0,5.080406212023667,1.45582491256994e-8,OPTIMAL
7,6,28,6,0,4.345394817786194,4.169215453582849e-8,OPTIMAL
7,6,28,6,0,2.4309603392572936,1.1749800647164459e-8,OPTIMAL
7,6,28,6,0,11.73919379584799,6.285522478279957e-10,OPTIMAL
7,6,28,6,0,3.3861246763847337,2.6841754227970475e-9,OPTIMAL
7,6,28,6,0,5.040736549041696,6.055801430946791e-10,OPTIMAL
7,6,28,6,0,2.5278574731617964,7.02655931332563e-10,OPTIMAL
7,6,28,6,0,2.8756733328444377,1.4198616447722872e-8,OPTIMAL
7,6,28,6,0,2.5026301656540832,1.3467190529125544e-8,OPTIMAL
7,6,28,6,0,2.7158466977087032,1.8305778795654444e-8,OPTIMAL
7,6,28,6,0,2.8874983607495,9.356251470687689e-9,OPTIMAL
7,6,28,6,0,10.511107083012124,2.3214653940307095e-9,OPTIMAL
7,6,28,6,0,3.92145976902404,3.3997490999076156e-8,OPTIMAL
7,6,28,6,0,5.413779372050362,3.907006157742695e-10,OPTIMAL
7,6,28,6,0,2.043963353898579,2.3042510507805228e-9,OPTIMAL
7,6,28,6,0,2.7959685176139786,2.573401630067345e-8,OPTIMAL
7,6,28,6,0,3.3963857361502363,8.25838997160304e-9,OPTIMAL
7,6,28,6,0,3.668243382282811,9.162177988580408e-9,OPTIMAL
7,6,28,6,0,4.243783587764972,8.503691393383486e-11,OPTIMAL
7,6,28,6,0,5.310434097825664,5.0367133560778933e-8,OPTIMAL
7,6,28,6,0,2.677593040942266,7.37525910954434e-10,OPTIMAL
7,6,28,6,0,2.8402078187000126,8.339545979256444e-9,OPTIMAL
7,6,28,6,0,3.2320339996964993,2.47462624098812e-9,OPTIMAL
7,6,28,6,0,3.6260733392354934,2.707509576112336e-8,OPTIMAL
7,6,28,6,0,2.1570525690435387,1.1913871186018802e-8,OPTIMAL
7,6,28,6,0,6.390301841912357,2.379552971021823e-9,OPTIMAL
7,6,28,6,0,6.454112322277319,9.261616143234597e-10,OPTIMAL
7,6,28,6,0,3.4828974574860467,3.273571708455809e-8,OPTIMAL
7,6,28,6,0,5.765912724292007,9.118411787542981e-10,OPTIMAL
7,6,28,6,0,5.08120985252555,2.899620969056432e-10,OPTIMAL
7,6,28,6,0,6.927500758943267,2.6963102678341883e-8,OPTIMAL
7,6,28,6,0,4.639823494791487,9.836596999744716e-10,OPTIMAL
7,6,28,6,0,8.091308074461308,1.404745753423093e-10,OPTIMAL
7,6,28,6,0,6.959493549451654,2.8354132791060493e-8,OPTIMAL
7,6,28,6,0,3.2938682344251182,1.558113882676466e-8,OPTIMAL
7,6,28,6,0,2.90765429412,7.395908452732333e-10,OPTIMAL
7,6,28,6,0,2.6549613347347267,1.8189700103569005e-9,OPTIMAL
7,6,28,6,0,4.5652517068153795,6.63325262869594e-9,OPTIMAL
7,6,28,6,0,3.450162098003477,1.159702301143176e-8,OPTIMAL
7,6,28,6,0,2.168601059068458,2.8702778830964826e-9,OPTIMAL
7,6,28,6,0,4.4715642404943345,1.3276124653730202e-9,OPTIMAL
7,6,28,6,0,2.9288602087791413,8.014792850329931e-10,OPTIMAL
7,6,28,6,0,3.481260003262641,2.843190462032703e-8,OPTIMAL
7,6,28,6,0,2.453683988227903,3.1027948434537285e-10,OPTIMAL
7,6,28,6,0,77.84489365566128,3.490850037500377e-9,OPTIMAL
7,6,28,6,0,3.147909590047015,6.320980487255174e-10,OPTIMAL
7,6,28,6,0,3.4224772001025325,2.943078866918169e-8,OPTIMAL
7,6,28,6,0,4.988764425524415,1.6518102516299204e-8,OPTIMAL
7,6,28,6,0,2.6431369821126465,1.761935242746718e-9,OPTIMAL
7,6,28,6,0,3.0230780012502483,5.005287352615541e-9,OPTIMAL
7,6,28,6,0,5.238121229042631,3.5149813860230074e-9,OPTIMAL
7,6,28,6,0,5.918475178643826,8.757127744247612e-10,OPTIMAL
7,6,28,6,0,7.120953300566603,6.677031859424787e-9,OPTIMAL
7,6,28,6,0,4.225781675813493,1.4007010370460882e-8,OPTIMAL
7,6,28,6,0,3.841464922652375,6.328629376642168e-10,OPTIMAL
7,6,28,6,0,5.324274324354159,4.527113597515269e-10,OPTIMAL
7,6,28,6,0,2.995715044217047,2.9739476445716944e-9,OPTIMAL
7,6,28,6,0,4.424888663890718,4.1214425699351817e-10,OPTIMAL
7,6,28,6,0,11.906942958140803,1.6754625689084477e-8,OPTIMAL
7,6,28,6,0,7.212361053657194,2.869971651246635e-9,OPTIMAL
7,6,28,6,0,3.0340758231597684,3.8458798896343077e-10,OPTIMAL
7,6,28,6,0,7.864695980647498,1.1542624517387139e-8,OPTIMAL
7,6,28,6,0,3.6947881369757227,1.1337040081480088e-8,OPTIMAL
7,6,28,6,0,6.218336096973405,2.055357621002921e-9,OPTIMAL
7,6,28,6,0,3.3656190442299225,1.1876541155389933e-9,OPTIMAL
7,6,28,6,0,7.881958541598907,5.280268082159682e-10,OPTIMAL
7,6,28,6,0,2.368027326087422,8.434360463442305e-9,OPTIMAL
7,6,28,6,0,3.065065782915615,1.3128588558280524e-9,OPTIMAL
7,6,28,6,0,3.377308933555817,8.541335449888832e-9,OPTIMAL
7,6,28,6,0,4.490184557268677,1.4913992455857643e-10,OPTIMAL
7,6,28,6,0,4.20824298018382,2.568679082573121e-8,OPTIMAL
7,6,28,6,0,2.4803139172777158,4.221335951297395e-9,OPTIMAL
7,6,28,6,0,12.411821772063785,2.577636563121406e-10,OPTIMAL
7,6,28,6,0,3.1306253159310264,1.7850177268150333e-8,OPTIMAL
7,6,28,6,0,2.4471729526568162,4.482317745504076e-9,OPTIMAL
7,6,28,6,0,3.0179738435551955,9.822217114895648e-10,OPTIMAL
7,6,28,6,0,8.0106698134535,2.713612091964695e-9,OPTIMAL
7,6,28,6,0,7.113085213331427,7.444277161190933e-9,OPTIMAL
