n,m,K,ε,avgtime,avgexact,avgsqerror,nsamples
2,1,2,0.2,0.00560236017,1.0,4.197730814551908e-9,200
3,1,2,0.2,0.00776668142,1.0,6.611144718909462e-10,100
3,2,2,0.2,0.05479599943999999,1.0,1.4507330493918602e-11,100
4,1,2,0.2,0.011962825980000001,1.0,8.125989473898187e-11,100
4,2,2,0.2,0.23197179179,1.0,9.2153979973753e-13,100
4,3,2,0.2,8.3065483817,1.0,2.696980706472192e-13,10
5,1,2,0.2,0.02050625636,1.0,4.0333641837020335e-10,50
5,2,2,0.2,1.7072749510599998,1.0,2.1860907185032864e-10,50
5,3,2,0.2,64.91572804159999,1.0,4.920799069432859e-11,5
5,4,2,0.2,1197.140791365,1.0,2.7465173159714773e-14,2
6,1,2,0.2,0.8367821892,1.0,1.733241965039745e-10,20
6,2,2,0.2,5.5737335974499995,1.0,2.9108755852342255e-10,20
6,3,2,0.2,302.67465964039997,1.0,3.0220607671521155e-10,5
7,1,2,0.2,0.13004540999999997,1.0,4.815309882810345e-12,5
7,2,2,0.2,22.8356803534,1.0,1.115864588628581e-13,5
7,3,2,0.2,1674.5627491487999,1.0,6.77605077659851e-10,5
