id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,3,1,2,0.4,0.138806215,true,9.525935792913482e-11,0.03999999637747376,0.03999999963675405,[0.0; 0.0; 0.0; 0.02930217208510676; -0.18721415927741752; -0.06397062823784475]
2,2,3,1,2,0.4,0.005541867,true,9.75366743902949e-10,0.03999997884880324,0.03999999991979303,[0.0; 0.0; 0.0; -0.1458926915090599; 0.10254637187771264; -0.09055144493027242]
3,2,3,1,2,0.4,0.006193581,true,2.7977927444115376e-11,0.039999996715973866,0.0399999999282638,[0.0; 0.0; 0.0; 0.18566269760171997; 0.03504226352212175; -0.06558507823048214]
4,2,3,1,2,0.4,0.005876132,true,7.1941210507541196e-12,0.03999999753831063,0.039999999776385076,[0.0; 0.0; 0.0; 0.10815376307684572; 0.07992790259058245; 0.14803477267111229]
5,2,3,1,2,0.4,0.004866134,true,3.885823073700228e-11,0.03999999824618916,0.03999999986655409,[0.0; 0.0; 0.0; 0.012033983111198172; -0.12487153232251835; -0.15576355050494214]
6,2,3,1,2,0.4,0.00413845,true,2.2229510655070095e-10,0.03999999262223014,0.03999999960752129,[0.0; 0.0; 0.0; -0.15825439621222348; 0.02599927328276638; 0.11949721280545678]
7,2,3,1,2,0.4,0.004446065,true,3.572808656634831e-11,0.03999999547345068,0.03999999955748368,[0.0; 0.0; 0.0; -0.026185766022584035; -0.1301955129211083; 0.14954408738903724]
8,2,3,1,2,0.4,0.004411745,true,1.7705182580586912e-10,0.03999999577149118,0.03999999963201162,[0.0; 0.0; 0.0; -0.07036300601119565; -0.18408375428926108; 0.034091330156498754]
9,2,3,1,2,0.4,0.004442635,true,4.3780361724639114e-11,0.0399999970139549,0.03999999972236841,[0.0; 0.0; 0.0; 0.19068951567156822; 0.050986646063719325; -0.032215998139367936]
10,2,3,1,2,0.4,0.004410824,true,8.097652756087446e-11,0.03999999560035367,0.03999999945777536,[0.0; 0.0; 0.0; -0.002583029492580509; 0.19934388916562354; 0.015979418354998564]
11,2,3,1,2,0.4,0.004275333,true,1.903263196524354e-9,0.039999972531931834,0.04000000043168244,[0.0; 0.0; 0.0; -0.08413271439019883; 0.1159426881363459; -0.1395671144541409]
12,2,3,1,2,0.4,0.004396942,true,3.470144893727336e-10,0.03999998819091166,0.03999999970064225,[0.0; 0.0; 0.0; -0.1879113739254622; -0.06755927015433887; 0.011183048138061064]
13,2,3,1,2,0.4,0.00458414,true,3.0229974118962104e-11,0.039999996972653884,0.03999999987374451,[0.0; 0.0; 0.0; 0.192391128067954; -0.010951022408632938; -0.05353250366782545]
14,2,3,1,2,0.4,0.004632368,true,2.5226707288434334e-11,0.03999999525306609,0.03999999836442185,[0.0; 0.0; 0.0; -0.03432316759214038; 0.09988348211158049; 0.1698387769848436]
15,2,3,1,2,0.4,0.004665861,true,7.025922143354028e-11,0.03999999732463892,0.03999999977930681,[0.0; 0.0; 0.0; 0.04288591496879528; -0.14161271992202362; -0.13456090016634012]
16,2,3,1,2,0.4,0.005433188,true,2.432762897895022e-9,0.03999996233898981,0.0400000002292624,[0.0; 0.0; 0.0; -0.1439565609957813; 0.1356759944125451; -0.0294708854029689]
17,2,3,1,2,0.4,0.005412107,true,1.0711803241935546e-10,0.03999999673737831,0.039999999608451055,[0.0; 0.0; 0.0; 0.07732983061281525; -0.15130064426851011; -0.10549034240785767]
18,2,3,1,2,0.4,0.005296567,true,4.795774309096597e-11,0.03999999567613879,0.03999999938069652,[0.0; 0.0; 0.0; 0.0700070682894289; -0.14210432058004527; 0.12208756063581155]
19,2,3,1,2,0.4,0.005043604,true,2.962392107202303e-9,0.039999971101569845,0.040000001005996016,[0.0; 0.0; 0.0; -0.04528705189147605; 0.14124046647392793; -0.13416487454324996]
20,2,3,1,2,0.4,0.005251075,true,9.439928067621806e-11,0.039999995212074826,0.03999999916122807,[0.0; 0.0; 0.0; 0.0641311488926498; 0.18724999240499196; 0.02871647760501338]
21,2,3,1,2,0.4,0.005280373,true,8.444134283068739e-11,0.039999996966384066,0.039999999687518585,[0.0; 0.0; 0.0; -0.033747888685674764; -0.1880840712837065; -0.0590378026234456]
22,2,3,1,2,0.4,0.004657499,true,4.25793175712572e-10,0.03999998905400484,0.040000000029919415,[0.0; 0.0; 0.0; -0.16375905617677666; 0.06174734477683885; -0.09679998415858085]
23,2,3,1,2,0.4,0.004647663,true,2.4396726899013954e-11,0.03999999590633197,0.03999999960997184,[0.0; 0.0; 0.0; -0.027793106717394635; 0.11446398922425792; 0.16163396422121334]
24,2,3,1,2,0.4,0.004710094,true,4.666894520215806e-11,0.039999992539913265,0.040000000472526547,[0.0; 0.0; 0.0; -0.010614898887395623; 0.11486547848428463; 0.1633806774811107]
25,2,3,1,2,0.4,0.004633477,true,4.9628279501386975e-11,0.039999997292139544,0.03999999979539968,[0.0; 0.0; 0.0; 0.1919674836937501; 0.05582573740381666; 0.005654400729511538]
26,2,3,1,2,0.4,0.004317638,true,1.1604518988116869e-9,0.03999998426144014,0.04000000045389366,[0.0; 0.0; 0.0; -0.07555912050746832; 0.01613045308521848; -0.18447392171091137]
27,2,3,1,2,0.4,0.004674958,true,7.9391620587242e-11,0.03999999664519075,0.03999999978397393,[0.0; 0.0; 0.0; 0.007317211344317643; -0.19376740650317079; -0.04899643451494778]
28,2,3,1,2,0.4,0.004653987,true,9.99166404713029e-11,0.039999986316324065,0.03999999661490865,[0.0; 0.0; 0.0; 0.003083042841466044; 0.09331180980591036; 0.17687114235392754]
29,2,3,1,2,0.4,0.004356059,true,2.4561001702101063e-9,0.039999959761051154,0.03999999971675614,[0.0; 0.0; 0.0; -0.1507884182127958; 0.13047613831348087; 0.015454134193943437]
30,2,3,1,2,0.4,0.004561377,true,9.930994851456794e-10,0.03999998723912543,0.04000000018735005,[0.0; 0.0; 0.0; -0.10056819490451685; -0.04502825046002336; -0.16690864217935664]
31,2,3,1,2,0.4,0.004825942,true,1.1770771872833213e-10,0.03999999483258606,0.039999999507751245,[0.0; 0.0; 0.0; -0.04128149682854992; -0.1732259033711864; 0.0910418827838639]
32,2,3,1,2,0.4,0.00490424,true,1.0047290578595894e-10,0.03999999554418608,0.03999999932810869,[0.0; 0.0; 0.0; 0.10788347022098642; 0.1671838352428653; 0.020266279544209172]
33,2,3,1,2,0.4,0.004828873,true,5.709113202870144e-11,0.03999999722843116,0.039999999730610886,[0.0; 0.0; 0.0; 0.1796457995422742; -0.08040163666769799; 0.035538198153149535]
34,2,3,1,2,0.4,0.004676371,true,3.656376584021265e-10,0.03999998768548239,0.039999999103360266,[0.0; 0.0; 0.0; -0.11839758786591732; 0.009301782336762683; 0.16092075078401755]
35,2,3,1,2,0.4,0.004832358,true,9.102262266433596e-11,0.03999999496109377,0.039999999262920374,[0.0; 0.0; 0.0; 0.045227548396709914; -0.18096978896100438; 0.07214155771421076]
36,2,3,1,2,0.4,0.004767431,true,7.308445002352876e-11,0.03999999672068786,0.039999999631634246,[0.0; 0.0; 0.0; 0.0026749738670559056; -0.193526620480371; -0.050401306334826326]
37,2,3,1,2,0.4,0.004494609,true,3.00022362168515e-9,0.039999967045865274,0.0400000009668889,[0.0; 0.0; 0.0; 0.020067229783972303; 0.040346175460555515; -0.19485762087869013]
38,2,3,1,2,0.4,0.004816216,true,7.558826545839304e-10,0.039999989603178104,0.04000000026149314,[0.0; 0.0; 0.0; -0.10637777021781512; 0.01574999935526827; -0.16862890476959985]
39,2,3,1,2,0.4,0.005142743,true,1.7826110322938911e-9,0.03999996140293292,0.0399999982608325,[0.0; 0.0; 0.0; -0.1187218060141963; 0.10950231334230508; 0.11795921392333533]
40,2,3,1,2,0.4,0.005483463,true,8.758733513167061e-11,0.03999999632708123,0.03999999949392718,[0.0; 0.0; 0.0; 0.14949015677231473; 0.12998897017655972; 0.027487463699407428]
41,2,3,1,2,0.4,0.005276842,true,6.436075304392273e-10,0.03999998921028627,0.04000000015585917,[0.0; 0.0; 0.0; -0.1215323324756331; 0.037200688655105243; -0.15442150409388616]
42,2,3,1,2,0.4,0.005296804,true,5.827586569314579e-10,0.03999997151731197,0.03999999843802226,[0.0; 0.0; 0.0; -0.0013705884017085053; -0.1640837458840461; 0.11434441754669485]
43,2,3,1,2,0.4,0.005338677,true,1.184952090617029e-12,0.03999999869556673,0.0399999999002755,[0.0; 0.0; 0.0; 0.08163029446312965; -0.007556638540662269; 0.18242640225534387]
44,2,3,1,2,0.4,0.005228137,true,2.2138004927740913e-11,0.03999999766914463,0.039999999829696875,[0.0; 0.0; 0.0; 0.1530194464873363; 0.06923622287913717; 0.10858818737846054]
45,2,3,1,2,0.4,0.005112219,true,5.500171618793017e-11,0.03999999671944323,0.03999999965567615,[0.0; 0.0; 0.0; 0.17087054814588928; 0.08770743818221537; -0.05577330063602316]
46,2,3,1,2,0.4,0.004662489,true,4.1195904205967756e-10,0.0399999895603557,0.040000000051474166,[0.0; 0.0; 0.0; -0.17893191536841382; -0.06398044534017003; -0.06236884059098992]
47,2,3,1,2,0.4,0.036829284,true,5.093683420193236e-11,0.03999999670625298,0.03999999990932506,[0.0; 0.0; 0.0; -0.19393772292414943; 0.002461194966221725; 0.04880678381469203]
48,2,3,1,2,0.4,0.005465587,true,1.7314884388406181e-9,0.039999982062533475,0.04000000054308118,[0.0; 0.0; 0.0; -0.024373950082199343; -0.00997301325833407; -0.1982585422218663]
49,2,3,1,2,0.4,0.005812127,true,6.21367967352292e-11,0.039999997610117376,0.03999999992217396,[0.0; 0.0; 0.0; 0.13063410746274223; -0.06427500281442051; -0.13712568680090162]
