id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,2,2,0.4,0.229535661,true,1.2412129611836583e-14,0.03999999977285819,0.040000000014037355,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.054361955033079716; 0.031019952221843353; -0.18995404815148315]
2,2,4,2,2,0.4,0.18784368,true,4.4484067198708065e-15,0.03999998481543815,0.03999999986858073,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.14552217183457186; -0.1035629596496567; 0.0899889487279017]
3,2,4,2,2,0.4,0.208780776,true,3.0356410966457993e-15,0.03999999949558724,0.039999999990110974,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.17200672897868563; 0.03985982838605719; 0.09394082854162539]
4,2,4,2,2,0.4,0.236840325,true,2.034239430965723e-13,0.03999999944530094,0.03999999998567958,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.03786990579552293; -0.05613425020877919; 0.18818824668011652]
5,2,4,2,2,0.4,0.217095218,true,3.669012741974424e-13,0.03999999995545869,0.03999999999745113,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.03409751499683701; -0.19601619550008312; -0.020371808282861767]
6,2,4,2,2,0.4,0.200167183,true,5.861480008365928e-15,0.03999998205256072,0.039999999362085016,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.04599930846432462; 0.18171577453189208; 0.06973837470918347]
7,2,4,2,2,0.4,0.197121781,true,2.362483552174382e-14,0.03999997712603624,0.04000000037618852,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.06377034224724072; -0.10977958893873752; 0.1545373265658223]
8,2,4,2,2,0.4,0.308080795,true,7.42937397636959e-12,0.0399999998868672,0.04000000000669665,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.10243670571956848; 0.16526847054072502; -0.04683005409405429]
9,2,4,2,2,0.4,0.184028424,true,1.0407584291485683e-12,0.03999996940309031,0.03999999253648638,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.030398625091998963; -0.09478221867362957; 0.1734711924667043]
10,2,4,2,2,0.4,0.204031955,true,8.155469497969126e-13,0.03999999988851913,0.039999999996001324,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.17093911958957467; 0.09299681535568377; -0.046167193196489015]
11,2,4,2,2,0.4,0.230834337,true,1.8599906672907677e-16,0.039999999999628645,0.03999999999997599,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.018112010813882713; -0.10811788628604956; -0.16727963931487497]
12,2,4,2,2,0.4,0.198691219,true,1.430140052533489e-16,0.03999999971719104,0.03999999998259183,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.1271952232992814; 0.1487973824932249; 0.04099651366898002]
13,2,4,2,2,0.4,0.178230138,true,3.9830386981453316e-15,0.03999998463082541,0.039999999880878045,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.12607190656871034; 0.1053368306191218; 0.11406150309920003]
14,2,4,2,2,0.4,0.284148938,true,9.85112695096341e-10,0.039999836869517066,0.04000000029057578,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.16563120047053112; 0.1094661446277383; 0.024155094929017025]
