n,m,K,ε,avgtime,avgexact,avgsqerror,nsamples
2,1,2,0.2,0.005574351314,1.0,1.8630970964371038e-9,2000
3,1,2,0.2,0.006063342770000001,1.0,5.310483391227914e-10,200
3,2,2,0.2,0.043389370518,1.0,1.6443238273403616e-10,1000
4,1,2,0.2,0.009595367410000001,1.0,1.6727983349025836e-10,100
4,2,2,0.2,0.23738725753000003,1.0,1.8176084285470602e-11,100
4,3,2,0.2,7.454288818617647,1.0,2.2178809376740686e-12,34
5,1,2,0.2,0.016466959949999995,1.0,1.4680615639022908e-10,20
5,2,2,0.2,1.5789099165,1.0,9.631588965350405e-12,10
5,3,2,0.2,64.9386357025,1.0,8.265453579716915e-14,2
5,4,2,0.2,1042.6740905645,1.0,1.3291449721529705e-12,2
6,1,2,0.2,0.16869050433333332,1.0,2.677067916492654e-11,3
6,2,2,0.2,7.568934849000001,1.0,7.549647988288796e-12,3
6,3,2,0.2,381.55107757366676,1.0,4.238273495413188e-11,3
7,1,2,0.2,0.09626187566666666,1.0,3.388875963080771e-12,3
7,2,2,0.2,29.631051563333333,1.0,2.50951511596988e-10,3
