id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,3,4,1,3,0.04,16.500550893,true,1.878387579395676e-9,0.00039995144868410805,0.0004000018951507301,"[0.0, 0.0, 0.0, 0.0, -0.013638117017410823, -0.00024317804545448434, -0.007490101326705154, -0.001476146177335545, -0.007553217388882857, -0.002028189333307143, -0.001778179950597151, 0.0021449264638286397, 0.004632040532413323, -0.002070002518719687, 0.0032950576823863494, 0.0025341216768332646, -0.0016993535101926542, -0.005872991585848355, -0.0022907323271166872, -0.0010428566679184551]"
2,3,4,1,3,0.04,0.110396138,true,3.5457638654590804e-9,0.00039994107528937327,0.00040000354935135364,"[0.0, 0.0, 0.0, 0.0, 0.00784251993843975, -0.001837988839389621, -0.0030543115635356002, -0.00783591020297537, -0.004014800385658259, -0.007517779568608467, -0.0018529897300736474, -0.006655154675833079, -0.009113480181422448, -0.0038032512374045055, -0.0035431203063099864, -0.0017996352520119137, -0.0031775591455201284, 0.00026340579708072665, 0.00449130888189241, 0.0006126450687587945]"
3,3,4,1,3,0.04,0.125782205,true,4.642822431121283e-9,0.00039993097261843685,0.0004000046792985644,"[0.0, 0.0, 0.0, 0.0, 0.0003981293489096226, 0.002030115231203259, -0.0056642725657006215, 0.00348174795173067, -0.00852435969114599, -0.005239077687460847, 0.011337350322138704, -0.004639092390716966, 0.005601597619575875, -0.0013705040958523571, 0.0008881671497126101, -0.0010160961591041285, -0.003451024671894351, -0.006733516342942066, -0.0019677565027319704, -0.0022682350046580777]"
4,3,4,1,3,0.04,0.120812514,true,5.910968703251024e-9,0.00039993356583385226,0.00040000595526068814,"[0.0, 0.0, 0.0, 0.0, -0.0032428669591717633, 0.002206797815900284, 0.008006546824786154, 0.00595325848354934, -0.0046422226139431295, 0.0006574726829425252, 0.0017863406147201797, -0.004630347894823644, 0.004162180955895307, -0.00282620988998486, 0.0006410287442198691, -0.005302504612602935, 0.005276856145610615, -0.0016763389970294966, -0.007757554324812953, 0.009684032482596042]"
5,3,4,1,3,0.04,0.125001617,true,5.3382290852274855e-9,0.00039992292338133725,0.00040000535362907014,"[0.0, 0.0, 0.0, 0.0, -0.006971122861427751, -0.0006803074206749662, -0.006840815387782525, -0.0008491204319634155, -0.0005845784061870779, 0.008256015597618783, 0.004085833718772957, 0.006787468771412525, -0.004361879463342392, -0.001993729783560108, 0.0004413878788357177, 0.00138344613443755, 0.0018786558169012963, 0.005737774613817576, 0.009175792711736396, 0.005138024695340565]"
6,3,4,1,3,0.04,0.120529114,true,5.503949798621437e-9,0.0003999222545577927,0.0004000055325728377,"[0.0, 0.0, 0.0, 0.0, -0.0005521009713357537, -0.0020470719080164824, 0.00968950562937961, 0.005550862376153222, 0.003382292830366736, -0.002445005900916116, -0.005935119063805844, -0.0038429442715216533, -0.0038493693071379423, 0.0058573342530207, -0.007135374318832285, 0.004808234033702553, -0.005156657238433282, -0.0015597682863142653, -0.0029560765297996384, 0.006517146752980738]"
7,3,4,1,3,0.04,0.129412113,true,5.306314901205517e-9,0.0003999303428461662,0.00040000532828401503,"[0.0, 0.0, 0.0, 0.0, 0.0028870322075231687, 0.0041387832120647885, 0.004920618600741116, -0.006746919284550904, -0.006571876956430971, 0.005100219513235628, -0.00270546468764653, 0.0007754825900126284, 0.0017641645676639845, -0.0039811446634233725, -0.01017295264601154, 0.005757766905459811, -0.003118494352679087, 0.0007037843016961544, 0.006372495865162398, 0.00460952659411498]"
8,3,4,1,3,0.04,0.130836155,true,3.578194894872214e-9,0.0003999424222059778,0.0004000036039468159,"[0.0, 0.0, 0.0, 0.0, -0.006671488620948521, 0.008433573836460933, -0.003384199102032859, 0.0007719377550511802, 0.005791934129796517, -0.0012279108453971009, -0.0113266144860678, -0.0003054470853781719, 0.001269579646809787, 0.0002405787935533042, 0.005113157046501013, -0.00841807634133183, 0.0012341315687992636, 0.001700498369321889, 0.002400053174090645, -0.00015650955791724402]"
9,3,4,1,3,0.04,0.116579531,true,4.964144911843437e-9,0.0003999244150767457,0.00040000498543246607,"[0.0, 0.0, 0.0, 0.0, -0.0025464626795755553, -0.005132227392750471, 0.002555731356315247, -0.0012258864552856217, -0.009144255917955223, 0.003916765982745323, -0.003354355204642698, 0.007198207423328388, -0.0017459116813929516, 0.00558340048292394, 0.009710103932763286, -0.003849359249443659, 0.006928178101339243, 0.00027640297505498253, -0.002353721044381149, 0.00041778188969926743]"
10,3,4,1,3,0.04,0.095170216,true,9.129628579984072e-11,0.00039974570862625714,0.0004000005845170575,"[0.0, 0.0, 0.0, 0.0, 0.006130985817865593, 0.0022394944880297562, -0.011252847864904719, 0.010355689399994846, -0.004244041480917617, 0.004444261919504151, -0.0021407897368368794, -0.0035307458849348663, 0.0019631347402455333, 0.0031089255633022926, 7.897623145642613e-5, -0.0019012493594286314, -0.00023817806184589502, 0.001224107010161816, -0.002101502644424927, 0.006753110938874846]"
